Country,year,sex,age,suicides_no,population,
Anguilla,2001,female,75+ years,0,,#DIV/0!
Anguilla,2001,male,15-24 years,0,,#DIV/0!
Anguilla,2001,male,25-34 years,0,,#DIV/0!
Anguilla,2001,male,35-54 years,0,,#DIV/0!
Anguilla,2001,male,5-14 years,0,,#DIV/0!
Anguilla,2001,male,55-74 years,0,,#DIV/0!
Anguilla,2001,male,75+ years,0,,#DIV/0!
Anguilla,2002,female,15-24 years,0,,#DIV/0!
Anguilla,2002,female,25-34 years,0,,#DIV/0!
Anguilla,2002,female,35-54 years,0,,#DIV/0!
Anguilla,2002,female,5-14 years,0,,#DIV/0!
Anguilla,2002,female,55-74 years,0,,#DIV/0!
Anguilla,2002,female,75+ years,0,,#DIV/0!
Anguilla,2002,male,15-24 years,0,,#DIV/0!
Anguilla,2002,male,25-34 years,0,,#DIV/0!
Anguilla,2002,male,35-54 years,1,,#DIV/0!
Anguilla,2002,male,5-14 years,0,,#DIV/0!
Anguilla,2002,male,55-74 years,0,,#DIV/0!
Anguilla,2002,male,75+ years,0,,#DIV/0!
Anguilla,2003,female,15-24 years,0,,#DIV/0!
Anguilla,2003,female,25-34 years,0,,#DIV/0!
Anguilla,2003,female,35-54 years,0,,#DIV/0!
Anguilla,2003,female,5-14 years,0,,#DIV/0!
Anguilla,2003,female,55-74 years,0,,#DIV/0!
Anguilla,2003,female,75+ years,0,,#DIV/0!
Anguilla,2003,male,15-24 years,0,,#DIV/0!
Anguilla,2003,male,25-34 years,0,,#DIV/0!
Anguilla,2003,male,35-54 years,0,,#DIV/0!
Anguilla,2003,male,5-14 years,0,,#DIV/0!
Anguilla,2003,male,55-74 years,0,,#DIV/0!
Anguilla,2003,male,75+ years,0,,#DIV/0!
Anguilla,2004,female,15-24 years,0,,#DIV/0!
Anguilla,2004,female,25-34 years,0,,#DIV/0!
Anguilla,2004,female,35-54 years,0,,#DIV/0!
Anguilla,2004,female,5-14 years,0,,#DIV/0!
Anguilla,2004,female,55-74 years,0,,#DIV/0!
Anguilla,2004,female,75+ years,0,,#DIV/0!
Anguilla,2004,male,15-24 years,0,,#DIV/0!
Anguilla,2004,male,25-34 years,0,,#DIV/0!
Anguilla,2004,male,35-54 years,0,,#DIV/0!
Anguilla,2004,male,5-14 years,0,,#DIV/0!
Anguilla,2004,male,55-74 years,0,,#DIV/0!
Anguilla,2004,male,75+ years,0,,#DIV/0!
Anguilla,2005,female,15-24 years,0,,#DIV/0!
Anguilla,2005,female,25-34 years,0,,#DIV/0!
Anguilla,2005,female,35-54 years,0,,#DIV/0!
Anguilla,2005,female,5-14 years,0,,#DIV/0!
Anguilla,2005,female,55-74 years,0,,#DIV/0!
Anguilla,2005,female,75+ years,0,,#DIV/0!
Anguilla,2005,male,15-24 years,0,,#DIV/0!
Anguilla,2005,male,25-34 years,0,,#DIV/0!
Anguilla,2005,male,35-54 years,0,,#DIV/0!
Anguilla,2005,male,5-14 years,0,,#DIV/0!
Anguilla,2005,male,55-74 years,0,,#DIV/0!
Anguilla,2005,male,75+ years,0,,#DIV/0!
Anguilla,2006,female,15-24 years,0,,#DIV/0!
Anguilla,2006,female,25-34 years,0,,#DIV/0!
Anguilla,2006,female,35-54 years,0,,#DIV/0!
Anguilla,2006,female,5-14 years,0,,#DIV/0!
Anguilla,2006,female,55-74 years,0,,#DIV/0!
Anguilla,2006,female,75+ years,0,,#DIV/0!
Anguilla,2006,male,15-24 years,0,,#DIV/0!
Anguilla,2006,male,25-34 years,0,,#DIV/0!
Anguilla,2006,male,35-54 years,0,,#DIV/0!
Anguilla,2006,male,5-14 years,0,,#DIV/0!
Anguilla,2006,male,55-74 years,0,,#DIV/0!
Anguilla,2006,male,75+ years,0,,#DIV/0!
Anguilla,2008,female,15-24 years,0,,#DIV/0!
Anguilla,2008,female,25-34 years,0,,#DIV/0!
Anguilla,2008,female,35-54 years,0,,#DIV/0!
Anguilla,2008,female,5-14 years,0,,#DIV/0!
Anguilla,2008,female,55-74 years,0,,#DIV/0!
Anguilla,2008,female,75+ years,0,,#DIV/0!
Anguilla,2008,male,15-24 years,0,,#DIV/0!
Anguilla,2008,male,25-34 years,0,,#DIV/0!
Anguilla,2008,male,35-54 years,0,,#DIV/0!
Anguilla,2008,male,5-14 years,0,,#DIV/0!
Anguilla,2008,male,55-74 years,0,,#DIV/0!
